engine_rpm,vehicle_speed,steer_angle,throttle_position,brake_pressure,transmission_gear,vehicle_state
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
0,34,17510,136,17,51,85
